# object_resource_overrides.txt - pivot and collider from Object Editor
# TypeName IDName pivotX pivotY hasCollider colliderType offsetX offsetY width height centerX centerY radius
GOBJ_ITEM GOID_ITEM_CUT_NORMAL_GRASS 0.5 1 1 0 -54 -84 108 84 0 -42 42
GOBJ_ITEM GOID_ITEM_NORMAL_TREE_LOG 0.5 1 1 0 -50 -53 101 53 0 -26.5 26.5
GOBJ_ITEM GOID_ITEM_NORMAL_TWIGS 0.5 1 1 0 -66 -74 133 74 0 -37 37
GOBJ_ITEM GOID_ITEM_NORMAL_ROCK 0.5 1 1 0 -47 -56 94 56 0 -28 28
GOBJ_ITEM GOID_ITEM_GOLD_ROCK 0.5 1 1 0 -70 -101 140 101 0 -50.5 50.5
GOBJ_ITEM GOID_ITEM_ROPE 0.5 1 1 0 -50 -66 101 66 0 -33 33
GOBJ_ITEM GOID_ITEM_CUT_NORMAL_STONE 0.5 1 1 0 -67 -92 135 92 0 -46 46
GOBJ_ITEM GOID_ITEM_MEAT 0.5 1 1 0 -47 -61 95 61 0 -30.5 30.5
GOBJ_ITEM GOID_ITEM_BERRY 0.5 1 1 0 -34 -46 69 46 0 -23 23
GOBJ_NATURAL_ENVIR GOID_NORMAL_GRASS 0.5 1 1 0 -48 -196 96 196 0 -98 48
GOBJ_NATURAL_ENVIR GOID_NORMAL_TREE_SHORT 0.5 1 1 0 -29 -200 60 200 0 -208.5 81
GOBJ_NATURAL_ENVIR GOID_NORMAL_TREE_NORMAL 0.5 1 1 0 -32 -177 75 177 0 -185.5 125
GOBJ_NATURAL_ENVIR GOID_NORMAL_TREE_TALL 0.5 1 1 0 -57 -257 142 257 0 -237.5 160
GOBJ_NATURAL_ENVIR GOID_NORMAL_ROCK 0.5 1 1 0 -92 -146 184 146 0 -103 103
GOBJ_NATURAL_ENVIR GOID_GOLD_ROCK 0.5 1 1 0 -96 -189 192 189 0 -138 129
GOBJ_NATURAL_ENVIR GOID_NORMAL_SAPLING 0.5 1 1 0 -71 -200 143 200 0 -100 71.5
GOBJ_NATURAL_ENVIR GOID_BERRY_TREE 0.5 1 1 0 -101 -216 202 216 0 -108 101
GOBJ_MONSTER GOID_MONSTER_PIG 0.5 1 1 0 -80 -205 161 205 0 -102.5 80.5
GOBJ_MONSTER GOID_MONSTER_SPIDER 0.5 1 1 0 -80 -80 160 80 0 -40 40
GOBJ_MONSTER GOID_MONSTER_WARRIOR_SPIDER 0.5 1 1 0 -88 -92 176 92 0 -46 46
GOBJ_MONSTER GOID_MONSTER_QUEEN_SPIDER 0.5 1 1 0 -282 -357 564 357 0 -178.5 178.5
GOBJ_MONSTER GOID_MONSTER_HOUNDDOG 0.5 1 1 0 -112 -197 224 197 0 -98.5 98.5
GOBJ_MONSTER GOID_MONSTER_REDHOUNDDOG 0.5 1 1 0 -112 -200 224 200 0 -100 100
GOBJ_MONSTER GOID_MONSTER_ICEHOUNDDOG 0.5 1 1 0 -112 -199 224 199 0 -99.5 99.5
GOBJ_BUILDING GOID_BUILDING_PIGHOUSE 0.5 1 1 0 -81 -353 160 353 0 -248 144
GOBJ_BUILDING GOID_BUILDING_SPIDER_SMALLEGG 0.5 1 1 0 -65 -179 116 179 0 -166.5 130.5
GOBJ_BUILDING GOID_BUILDING_SPIDER_NORMALEGG 0.5 1 1 0 -81 -261 156 261 0 -174 174
GOBJ_BUILDING GOID_BUILDING_SPIDER_TALLEGG 0.5 1 1 0 -94 -357 192 357 0 -216 216
